Field,Name,Color,Rename
2014-Schedule,07-Apr,#d73027,
2014-Schedule,09-Apr,#f46d43,
2014-Schedule,10-Apr,#fdae61,
2014-Schedule,11-Apr,#fee090,
2014-Schedule,12-Apr,#fee090,
2014-Schedule,17-Apr,#f8f6cc,
2014-Schedule,24-Apr,#e0f3f8,
2014-Schedule,30-Apr,#abd9e9,
2014-Schedule,07-May,#74add1,
2014-Schedule,12-May,#4575b4,
2014-Turnout,< 50%,#d7191c,
2014-Turnout,50-60%,#fdae61,
2014-Turnout,60-70%,#ffffbf,
2014-Turnout,70-80%,#a6d96a,
2014-Turnout,80%+,#1a9641,
2014-Turnout,Not Done,#ffffff,
ALLIANCE,LDF,#FA2E2E,
ALLIANCE,LEFT,#FA2E2E,
ALLIANCE,NDA,#FA942E,
ALLIANCE,THIRD_FRONT,#AD632E,
ALLIANCE,UPA,#2EA7FF,
PARTY,AAP,#FA2E2E,
PARTY,ADMK,#B02E2E,
PARTY,AGP,#832EFA,
PARTY,AIFB,#FA2E2E,
PARTY,AIMIM,#A5E02E,
PARTY,AITC,#A5E02E,TMC
PARTY,AUDF,#2E803C,
PARTY,AUML,#2E803C,AUML
PARTY,BJD,#3FC63C,
PARTY,BJP,#FA942E,
PARTY,BJP+,#FA942E,
PARTY,BJS,#F05A00,
PARTY,BOPF,#F92EFA,BOPF
PARTY,BPF,#F92EFA,BOPF
PARTY,BSP,#2E3EEB,
PARTY,BVA,#FAE92E,
PARTY,CONG,#2EA7FF,CONG
PARTY,CONG+,#2EA7FF,
PARTY,CPI,#FA2E2E,
PARTY,CPM,#FA2E2E,
PARTY,DMDK,#60669E,
PARTY,DMK,#FAE92E,
PARTY,HJC,#E0B42E,HJC
PARTY,HJCBL,#E0B42E,HJC
PARTY,INC,#2EA7FF,CONG
PARTY,IND,#95b3d7,
PARTY,INLD,#2EFAA5,
PARTY,IUML,#2E803C,AUML
PARTY,JD,#8064a2,
PARTY,JD(S),#832EFA,JDS
PARTY,JD(U),#A5E02E,JDU
PARTY,JDS,#3FC63C,JDS
PARTY,JDU,#A5E02E,JDU
PARTY,JKN,#FA2E2E,NC
PARTY,JMM,#832EFA,
PARTY,JNP,#000000,
PARTY,JVM(P),#F92EFA,JVM
PARTY,JVM,#F92EFA,
PARTY,KCM,#FFC02E,
PARTY,KEC,#FAE92E,KECM
PARTY,KECM,#FAE92E,KECM
PARTY,LDF,#FA2E2E,
PARTY,LEFT,#FA2E2E,
PARTY,LJP,#832EFA,
PARTY,MDMK,#FA942E,
PARTY,MNS,#2E803C,
PARTY,MPP,#3FC62E,
PARTY,NC,#FA2E2E,NC
PARTY,NCP,#2E3EEB,
PARTY,NPF,#832EFA,
PARTY,Other,#A0A0A0,
PARTY,PDP,#3FC63C,
PARTY,PMK,#2E803C,
PARTY,RJD,#A02E2E,
PARTY,RLD,#AD632E,
PARTY,RPI(A),#A02E2E,RPI
PARTY,RPI,#A02E2E,
PARTY,RSP,#FA2E2E,
PARTY,SAD,#FAE92E,
PARTY,SDF,#E0B42E,
PARTY,SHS,#AD632E,SS
PARTY,SP,#2E803C,
PARTY,SS,#AD632E,SS
PARTY,SWA,#0C6965,
PARTY,SWP,#FA2E2E,
PARTY,TDP,#FAE92E,
PARTY,TMC,#A5E02E,TMC
PARTY,TRS,#F92EFA,
PARTY,UDF,#2EA7FF,
PARTY,UKD,#F92EFA,
PARTY,VCK,#832EFA,
PARTY,YSRC,#AD632E,
PARTY,AINRC,#832EFB,
PARTY,AD,#FAE92E,
PARTY,JSKP,#2E803C,JSP
PARTY,JSP,#2E803C,
PARTY,PTTL,#F92EFA,PT
PARTY,RLSP,#FAE92E,
PARTY,RHSP,#3FC63C,
PARTY,SJD,#2EFAA5,
PARTY,MHD,#F92EFA,MD
PARTY,MD,#F92EFA,
PARTY,RSPK(B),#FA2E2E,RSP(B)
PARTY,NDA,#FA942E,
PARTY,THIRD_FRONT,#AD632E,
PARTY,UPA,#2EA7FF,
